fyear,traj_label,n,y,rate
2015,Q1 (lowest),717,105,0.14644351464435146
2015,Q2,738,115,0.15582655826558264
2015,Q3,721,118,0.1636615811373093
2015,Q4 (highest),731,126,0.17236662106703146
2016,Q1 (lowest),717,134,0.18688981868898186
2016,Q2,738,109,0.14769647696476965
2016,Q3,721,126,0.17475728155339806
2016,Q4 (highest),731,128,0.17510259917920656
2017,Q1 (lowest),717,146,0.20362622036262204
2017,Q2,738,127,0.17208672086720866
2017,Q3,721,130,0.18030513176144244
2017,Q4 (highest),731,149,0.20383036935704515
2018,Q1 (lowest),717,148,0.20641562064156208
2018,Q2,738,127,0.17208672086720866
2018,Q3,721,121,0.1678224687933426
2018,Q4 (highest),731,147,0.20109439124487005
2019,Q1 (lowest),717,143,0.199442119944212
2019,Q2,738,114,0.15447154471544716
2019,Q3,721,136,0.18862690707350901
2019,Q4 (highest),731,131,0.17920656634746923
2020,Q1 (lowest),717,108,0.1506276150627615
2020,Q2,738,136,0.1842818428184282
2020,Q3,721,119,0.1650485436893204
2020,Q4 (highest),731,117,0.1600547195622435
2021,Q1 (lowest),717,137,0.1910739191073919
2021,Q2,738,122,0.16531165311653118
2021,Q3,721,116,0.1608876560332871
2021,Q4 (highest),731,150,0.2051983584131327
2022,Q1 (lowest),717,153,0.21338912133891214
2022,Q2,738,129,0.17479674796747968
2022,Q3,721,134,0.18585298196948682
2022,Q4 (highest),731,164,0.2243502051983584
2023,Q1 (lowest),717,146,0.20362622036262204
2023,Q2,738,130,0.17615176151761516
2023,Q3,721,144,0.19972260748959778
2023,Q4 (highest),731,148,0.2024623803009576
